JLCPCB Basic & Promotional Extended parts: $0 feeder loading fee in Economic PCBA. Fetched 2026-09-16 via the parts API
(componentLibraryType=base + preferredComponentFlag=true + searchType=2). 1586 parts: 351 Basic, 1235 Promotional Extended.
columns: LCSC# | type | MPN | brand | package | price@1 | price@100 USD | stock | description

== 555 Timers / Counters (1)
C20069144  | Promo | 2SA1213                      | hongjiacheng       | SOT-89         | 0.0786 | 0.0632 |   44045 | -55℃~+150℃ 1 PNP 100nA 120MHz 2A 500mV 500mW 50V 5V 70 PNP SOT-89 Bipolar (BJT) ROHS
C20069145  | Promo | 2SC2873                      | hongjiacheng       | SOT-89         | 0.0710 | 0.0583 |    4953 | -55℃~+150℃ 1 NPN 100nA 120MHz 2A 500mV 500mW 50V 5V 70 NPN SOT-89 Bipolar (BJT) ROHS
C28646276  | Promo | 2SC2884                      | hongjiacheng       | SOT-89         | 0.0358 | 0.0358 |    3556 | 1 NPN 100nA 120MHz 30V 320 500mV 500mW 5V 800mA NPN Standalone SOT-89 Bipolar (BJT) ROHS
C28646267  | Promo | 2SC4672                      | hongjiacheng       | SOT-89         | 0.0696 | 0.0555 |   11144 | -55℃~+150℃ 1 NPN 100nA 210MHz 2A 350mV 390 500mW 50V 6V NPN Standalone SOT-89 Bipolar (BJT) ROHS
C41375119  | Promo | 2SD1664                      | hongjiacheng       | SOT-89         | 0.0463 | 0.0366 |    1724 | -55℃~+155℃ 0.5mW 1 NPN 120MHz 1A 32V 390 400mV 500nA 5V NPN Standalone SOT-89 Bipolar (BJT) ROHS
C41375118  | Promo | 2SD1898                      | hongjiacheng       | SOT-89         | 0.0453 | 0.0400 |    9520 | -55℃~+155℃ 1 NPN 100MHz 1A 1uA 390 400mV 500mW 5V 80V NPN Standalone SOT-89 Bipolar (BJT) ROHS
C41375127  | Promo | 2SD2391                      | hongjiacheng       | SOT-89         | 0.0541 | 0.0428 |    2236 | -55℃~+155℃ 1 NPN 100nA 210MHz 2A 350mV 390 500mW 60V 6V NPN Standalone SOT-89 Bipolar (BJT) ROHS
C41375140  | Promo | 2SD965A                      | hongjiacheng       | SOT-89         | 0.1008 | 0.0800 |   14190 | -55℃~+150℃ 1 NPN 100nA 150MHz 1V 30V 5A 750mW 7V 800 NPN SOT-89 Bipolar (BJT) ROHS
C41375134  | Promo | B772                         | hongjiacheng       | SOT-89         | 0.0616 | 0.0497 |   34216 | 1 PNP 100nA 30V 3A 400 500mV 500mW 6V 80MHz PNP Standalone SOT-89 Bipolar (BJT) ROHS
C41375135  | Promo | BCX53-16                     | hongjiacheng       | SOT-89         | 0.0629 | 0.0505 |  390669 | 1 PNP 100 100nA 1A 500mV 500mW 50MHz 5V 80V PNP Standalone SOT-89 Bipolar (BJT) ROHS
C41375120  | Promo | BCX55-16                     | hongjiacheng       | SOT-89         | 0.0684 | 0.0554 |    2318 | -55℃~+150℃ 1 NPN 130MHz 1A 250 500mV 500mW 5V 5nA 60V NPN Standalone SOT-89 Bipolar (BJT) ROHS
C20069156  | Promo | BCX56-10                     | hongjiacheng       | SOT-89         | 0.0742 | 0.0598 |    6698 | -55℃~+150℃ 1 NPN 100nA 130MHz 1A 40 500mV 500mW 5V 80V NPN SOT-89 Bipolar (BJT) ROHS
C20069133  | Promo | BCX56-16                     | hongjiacheng       | SOT-89         | 0.0698 | 0.0572 |  116192 | -55℃~+150℃ 1 NPN 100nA 130MHz 1A 40 500mV 500mW 5V 80V NPN SOT-89 Bipolar (BJT) ROHS
C41375138  | Promo | CXT5551                      | hongjiacheng       | SOT-89         | 0.0345 | 0.0345 |  369881 | -55℃~+150℃ 1 NPN 100nA 150mV 160V 300 300MHz 500mW 600mA 6V NPN Standalone SOT-89 Bipolar (BJT) ROHS
C20069128  | Promo | D882                         | hongjiacheng       | SOT-89         | 0.0662 | 0.0535 |    7614 | -55℃~+150℃ 1 NPN 1uA 30V 3A 500mV 500mW 50MHz 60 6V NPN SOT-89 Bipolar (BJT) ROHS
C41375123  | Promo | D882H                        | hongjiacheng       | SOT-89         | 0.0662 | 0.0529 |   49201 | -55℃~+150℃ 1 NPN 1uA 320 3A 500mV 500mW 50MHz 6V 70V NPN SOT-89 Bipolar (BJT) ROHS
C41375136  | Promo | PXT8050                      | hongjiacheng       | SOT-89         | 0.0319 | 0.0319 |   19361 | -55℃~+155℃ 1 NPN 1.5A 100MHz 100nA 25V 400 500mV 500mW 5V NPN Standalone SOT-89 Bipolar (BJT) ROHS
C24278     | Promo | B772(RANGE:160-320)          | Jiangsu Changjing  | SOT-89-3L      | 0.0713 | 0.0583 |  131212 | -55℃~+150℃ 1 PNP 160 1uA 30V 3A 500mV 500mW 50MHz 6V PNP SOT-89-3L Bipolar (BJT) ROHS
C9634      | Basic | D882(RANGE:160-320)          | Jiangsu Changjing  | SOT-89-3L      | 0.0679 | 0.0572 |   93222 | -55℃~+150℃ 1 NPN 160 1uA 30V 3A 500mV 500mW 50MHz 6V NPN SOT-89-3L Bipolar (BJT) ROHS

== Bridge Rectifiers (26)
C42406051  | Promo | ABS10                        | hongjiacheng       | ABS            | 0.0281 | 0.0281 |  105710 | -55℃~+150℃ 1A 1V@0.4A 1kV 30A 5uA Single-Phase Rectifier ABS Bridge Rectifiers ROHS
C42406052  | Promo | ABS210                       | hongjiacheng       | ABS            | 0.0361 | 0.0361 |  183378 | -55℃~+150℃ 1V@1A 1kV 2A 5uA 60A Single-Phase Rectifier ABS Bridge Rectifiers ROHS
C5377      | Promo | DB107S                       | MDD(Microdiode Sem | DBS            | 0.0663 | 0.0557 |  259726 | -55℃~+150℃ 1.1V@1A 10uA@1kV 1A 1kV 30A Single-Phase Rectifier DBS Bridge Rectifiers ROHS
C42406056  | Promo | GBJ1510                      | hongjiacheng       | GBJ            | 0.5266 | 0.3714 |    1876 | -55℃~+150℃ 1.1V@7.5A 10uA@1000V 15A 1kV 220A Single-Phase Rectifier GBJ Bridge Rectifiers ROHS
C42406062  | Promo | GBJ2506A                     | hongjiacheng       | GBJ            | 0.5798 | 0.4169 |    1067 | -55℃~+150℃ 1.1V@12.5A 10uA 25A 350A 600V Single-Phase Rectifier GBJ Bridge Rectifiers ROHS
C42406061  | Promo | GBJ2510A                     | hongjiacheng       | GBJ            | 0.3996 | 0.3307 |    1137 | -55℃~+150℃ 1.1V@12.5A 10uA 1kV 25A 350A Single-Phase Rectifier GBJ Bridge Rectifiers ROHS
C42406060  | Promo | GBJ3510                      | hongjiacheng       | GBJ            | 0.6347 | 0.4733 |    2264 | -55℃~+150℃ 1.1V@7.5A 10uA 1kV 35A 400A Single-Phase Rectifier GBJ Bridge Rectifiers ROHS
C42406055  | Promo | GBJ5008                      | hongjiacheng       | GBJ            | 0.8118 | 0.5642 |     176 | -55℃~+150℃ 1.1V@25A 10uA 500A 50A 800V Single-Phase Rectifier GBJ Bridge Rectifiers ROHS
C42406057  | Promo | GBJ5010                      | hongjiacheng       | GBJ            | 0.8838 | 0.6363 |    4441 | -55℃~+150℃ 1.1V@25A 10uA 1kV 500A 50A Single-Phase Rectifier GBJ Bridge Rectifiers ROHS
